Room,Item,PositionX,PositionY,Height,Width
0,11,402,263,50,40

2,1,202,175,50,40
2,1,202,221,50,40
2,1,202,263,50,40
2,1,252,175,50,40
2,1,252,221,50,40
2,1,252,263,50,40
2,1,502,175,50,40
2,1,502,221,50,40
2,1,502,263,50,40
2,1,552,175,50,40
2,1,552,221,50,40
2,1,552,263,50,40

3,1,352,175,50,40
3,1,352,221,50,40
3,1,352,263,50,40
3,1,402,175,50,40
3,1,402,221,50,40
3,1,402,263,50,40

4,1,352,175,50,40
4,1,352,221,50,40
4,1,352,263,50,40
4,1,402,175,50,40
4,1,402,221,50,40
4,1,402,263,50,40

5,1,202,175,50,40
5,1,202,265,50,40
5,1,552,175,50,40
5,1,552,265,50,40

6,1,202,133,50,40
6,1,202,309,50,40
6,1,552,133,50,40
6,1,552,309,50,40

8,1,352,221,50,40

9,1,202,133,50,40
9,1,152,133,50,40
9,1,202,309,50,40
9,1,152,309,50,40
9,1,552,133,50,40
9,1,602,133,50,40
9,1,552,309,50,40
9,1,602,309,50,40
9,1,402,221,50,40
9,1,352,221,50,40

10,1,202,175,50,40
10,1,202,265,50,40
10,1,552,175,50,40
10,1,552,265,50,40

11,1,152,133,50,40
11,1,152,221,50,40
11,1,152,309,50,40
11,1,252,133,50,40
11,1,252,221,50,40
11,1,252,309,50,40

11,1,352,133,50,40
11,1,352,221,50,40
11,1,352,309,50,40
11,1,402,133,50,40
11,1,402,221,50,40
11,1,402,309,50,40

11,1,502,133,50,40
11,1,502,221,50,40
11,1,502,309,50,40
11,1,602,133,50,40
11,1,602,221,50,40
11,1,602,309,50,40

12,7,100,173,47,37
12,7,100,133,47,37
12,7,100,93,47,37
12,7,152,93,47,37
12,7,202,93,47,37
12,7,252,93,47,37
12,7,302,93,47,37
12,7,302,133,47,37
12,7,302,175,47,37
12,7,302,216,47,37
12,7,302,260,47,37
12,7,352,264,47,37

12,7,100,268,47,37
12,7,100,308,47,37
12,7,100,353,47,37
12,7,153,353,47,37
12,7,202,353,47,37
12,7,202,308,47,37
12,7,202,268,47,37
12,7,202,221,47,37
12,7,202,180,47,37
12,7,252,353,47,37
12,7,302,353,47,37

12,7,405,176,47,37
12,7,453,176,47,37
12,7,453,218,47,37
12,7,453,260,47,37
12,7,453,305,47,37
12,7,453,353,47,37

12,7,453,353,47,37
12,7,503,353,47,37
12,7,554,353,47,37
12,7,605,353,47,37
12,7,655,353,47,37
12,7,655,311,47,37
12,7,655,270,47,37

12,7,655,174,47,37
12,7,655,132,47,37
12,7,655,92,47,37
12,7,602,92,47,37
12,7,553,92,47,37
12,7,502,92,47,37
12,7,454,92,47,37
12,7,553,135,47,37
12,7,553,177,47,37
12,7,553,219,47,37
12,7,553,261,47,37




